time,Date,measurement,Hospitalizations
1,29/07/2021,24,100
2,30/07/2021,20,100
3,31/07/2021,9,100
4,01/08/2021,10,100
5,02/08/2021,12,100
6,03/08/2021,9,100
7,04/08/2021,14.28571429,100
8,05/08/2021,13.42857143,94
9,06/08/2021,13,91
10,07/08/2021,13.71428571,96
11,08/08/2021,14.71428571,103
12,09/08/2021,15.71428571,110
13,10/08/2021,17.14285714,120
14,11/08/2021,18,126
15,12/08/2021,19.28571429,135
16,13/08/2021,19.85714286,139
17,14/08/2021,21.42857143,150
18,15/08/2021,22.71428571,159
19,16/08/2021,23.14285714,162
20,17/08/2021,24.57142857,172
21,18/08/2021,26.14285714,183
22,19/08/2021,26.28571429,184
23,20/08/2021,27,189
24,21/08/2021,27.57142857,193
25,22/08/2021,28.57142857,200
26,23/08/2021,27.57142857,193
27,24/08/2021,27.28571429,191
28,25/08/2021,28.28571429,198
29,26/08/2021,30.42857143,213
30,27/08/2021,30.42857143,213
31,28/08/2021,31.28571429,219
32,29/08/2021,30.28571429,212
33,30/08/2021,32.28571429,226
34,31/08/2021,32,224
35,01/09/2021,31.42857143,220
36,02/09/2021,30.28571429,212
37,03/09/2021,31.42857143,220
38,04/09/2021,30.28571429,212
39,05/09/2021,29.57142857,207
40,06/09/2021,30,210
41,07/09/2021,30.85714286,216
42,08/09/2021,28.57142857,200
43,09/09/2021,28.85714286,202
44,10/09/2021,29.14285714,204
45,11/09/2021,28.85714286,202
46,12/09/2021,29.57142857,207
47,13/09/2021,27.71428571,194
48,14/09/2021,26.42857143,185
49,15/09/2021,26.85714286,188
50,16/09/2021,25.28571429,177
51,17/09/2021,24.28571429,170
52,18/09/2021,24.14285714,169
53,19/09/2021,23.85714286,167
54,20/09/2021,24,168
55,21/09/2021,24.14285714,169
56,22/09/2021,24.71428571,173
57,23/09/2021,26.28571429,184
58,24/09/2021,25.85714286,181
59,25/09/2021,26.28571429,184
60,26/09/2021,26,182
61,27/09/2021,25.42857143,178
62,28/09/2021,25.42857143,178
63,29/09/2021,25.57142857,179
64,30/09/2021,23.71428571,166
65,01/10/2021,24.28571429,170
66,02/10/2021,23.28571429,163
67,03/10/2021,23.71428571,166
68,04/10/2021,24.71428571,173
69,05/10/2021,25.14285714,176
70,06/10/2021,24.57142857,172
71,07/10/2021,24.14285714,169
72,08/10/2021,24.42857143,171
73,09/10/2021,26.28571429,184
74,10/10/2021,27.14285714,190
75,11/10/2021,26.14285714,183
76,12/10/2021,27.42857143,192
77,13/10/2021,28.14285714,197
78,14/10/2021,30.28571429,212
79,15/10/2021,30.28571429,212
80,16/10/2021,30.57142857,214
81,17/10/2021,31,217
82,18/10/2021,32.85714286,230
83,19/10/2021,33.57142857,235
84,20/10/2021,34.42857143,241
85,21/10/2021,33.57142857,235
86,22/10/2021,33.71428571,236
87,23/10/2021,34.14285714,239
88,24/10/2021,34.42857143,241
89,25/10/2021,35,245
90,26/10/2021,33.42857143,234
91,27/10/2021,32,224
92,28/10/2021,35,245
93,29/10/2021,35.85714286,251
94,30/10/2021,38.28571429,268
95,31/10/2021,39.42857143,276
96,01/11/2021,39.28571429,275
97,02/11/2021,41,287
98,03/11/2021,41.85714286,293
99,04/11/2021,39.71428571,278
100,05/11/2021,40.71428571,285
101,06/11/2021,37.28571429,261
102,07/11/2021,35.28571429,247
103,08/11/2021,36.28571429,254
104,09/11/2021,39,273
105,10/11/2021,40,280
106,11/11/2021,41,287
107,12/11/2021,39.57142857,277
108,13/11/2021,40.71428571,285
109,14/11/2021,42,294
110,15/11/2021,41.42857143,290
111,16/11/2021,40,280
112,17/11/2021,43.71428571,306
113,18/11/2021,45.57142857,319
114,19/11/2021,49.28571429,345
115,20/11/2021,55.28571429,387
116,21/11/2021,57.85714286,405
117,22/11/2021,60.28571429,422
118,23/11/2021,59.28571429,415
119,24/11/2021,57,399
120,25/11/2021,57.14285714,400
121,26/11/2021,55.42857143,388
122,27/11/2021,49.57142857,347
123,28/11/2021,48.14285714,337
124,29/11/2021,45.57142857,319
125,30/11/2021,47.14285714,330
126,01/12/2021,49.28571429,345
127,02/12/2021,47.42857143,332
128,03/12/2021,46.28571429,324
129,04/12/2021,47.42857143,332
130,05/12/2021,47.28571429,331
131,06/12/2021,47.42857143,332
132,07/12/2021,45.57142857,319
133,08/12/2021,45.14285714,316
134,09/12/2021,46.28571429,324
135,10/12/2021,47.28571429,331
136,11/12/2021,45.71428571,320
137,12/12/2021,44.71428571,313
138,13/12/2021,44,308
139,14/12/2021,43.14285714,302
140,15/12/2021,40.14285714,281
141,16/12/2021,38.42857143,269
142,17/12/2021,35.14285714,246
143,18/12/2021,34,238
144,19/12/2021,33.14285714,232
145,20/12/2021,34.42857143,241
146,21/12/2021,35,245
147,22/12/2021,35.28571429,247
148,23/12/2021,33.14285714,232
149,24/12/2021,35.42857143,248
150,25/12/2021,35.42857143,248
151,26/12/2021,35.85714286,251
152,27/12/2021,36.14285714,253
153,28/12/2021,37.71428571,264
154,29/12/2021,40.28571429,282
155,30/12/2021,47.71428571,334
156,31/12/2021,56.28571429,394
157,01/01/2022,59.71428571,418
158,02/01/2022,64.57142857,452
159,03/01/2022,69.71428571,488
160,04/01/2022,74.57142857,522
161,05/01/2022,76.71428571,537
162,06/01/2022,80,560
163,07/01/2022,78.28571429,548
164,08/01/2022,81.14285714,568
165,09/01/2022,81.42857143,570
166,10/01/2022,82.14285714,575
167,11/01/2022,80.71428571,565
168,12/01/2022,82.85714286,580
169,13/01/2022,79.71428571,558
170,14/01/2022,80.42857143,563
171,15/01/2022,80,560
172,16/01/2022,78.85714286,552
173,17/01/2022,76.28571429,534
174,18/01/2022,75.42857143,528
175,19/01/2022,72.85714286,510
176,20/01/2022,68.28571429,478
177,21/01/2022,63.85714286,447
178,22/01/2022,63.14285714,442
179,23/01/2022,61.85714286,433
180,24/01/2022,60.14285714,421
181,25/01/2022,58.71428571,411
182,26/01/2022,54.28571429,380
183,27/01/2022,56,392
184,28/01/2022,55.14285714,386
185,29/01/2022,55.42857143,388
186,30/01/2022,52.85714286,370
187,31/01/2022,54,378
188,01/02/2022,52.42857143,367
189,02/02/2022,53,371
190,03/02/2022,49.85714286,349
191,04/02/2022,47.28571429,331
192,05/02/2022,42.42857143,297
193,06/02/2022,43.85714286,307
194,07/02/2022,40.71428571,285
195,08/02/2022,40.28571429,282
196,09/02/2022,39.28571429,275
197,10/02/2022,39,273
198,11/02/2022,41.57142857,291
199,12/02/2022,43.57142857,305
200,13/02/2022,43,301
201,14/02/2022,44.14285714,309
202,15/02/2022,43.28571429,303
203,16/02/2022,46.42857143,325
204,17/02/2022,50.28571429,352
205,18/02/2022,47.57142857,333
206,19/02/2022,46.42857143,325
207,20/02/2022,45,315
208,21/02/2022,43.57142857,305
209,22/02/2022,43.57142857,305
210,23/02/2022,42.28571429,296
211,24/02/2022,42.57142857,298
212,25/02/2022,44.14285714,309
213,26/02/2022,45.71428571,320
214,27/02/2022,46.57142857,326
215,28/02/2022,46.85714286,328
